Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"01-11-2018 11:22 pm","02-11-2018 8:10 am","460","68","22","528","92","272","96"
"30-10-2018 10:33 pm","31-10-2018 5:32 am","376","43","17","419","96","191","89"
"29-10-2018 9:53 pm","30-10-2018 5:38 am","413","52","20","465","97","252","64"
"28-10-2018 10:51 pm","29-10-2018 5:14 am","341","42","24","383","48","241","52"
"27-10-2018 11:47 pm","28-10-2018 8:11 am","462","42","18","504","110","202","150"
"27-10-2018 7:22 pm","27-10-2018 9:00 pm","7","80","0","98","N/A","N/A","N/A"
"26-10-2018 10:27 pm","27-10-2018 8:19 am","472","119","28","591","87","334","51"
"26-10-2018 1:32 pm","26-10-2018 3:33 pm","74","40","1","120","N/A","N/A","N/A"
"25-10-2018 10:16 pm","26-10-2018 7:44 am","492","76","25","568","131","231","130"
"24-10-2018 10:13 pm","25-10-2018 5:58 am","390","75","21","465","36","299","55"
"23-10-2018 9:46 pm","24-10-2018 5:47 am","429","52","22","481","109","243","77"
"23-10-2018 6:12 pm","23-10-2018 8:05 pm","68","27","0","113","N/A","N/A","N/A"
"22-10-2018 10:10 pm","23-10-2018 5:56 am","402","63","25","465","81","237","84"
"21-10-2018 11:17 pm","22-10-2018 5:21 am","327","37","19","364","42","222","63"
"19-10-2018 10:02 pm","20-10-2018 9:24 am","556","125","33","681","105","365","86"
"18-10-2018 10:28 pm","19-10-2018 8:53 am","554","71","28","625","85","378","91"
"17-10-2018 9:31 pm","18-10-2018 5:44 am","431","62","24","493","115","250","66"
"16-10-2018 10:49 pm","17-10-2018 5:26 am","357","40","19","397","84","217","56"
"15-10-2018 10:32 pm","16-10-2018 5:51 am","372","67","17","439","73","223","76"
"14-10-2018 10:10 pm","15-10-2018 5:26 am","393","43","20","436","90","218","85"
"14-10-2018 1:46 am","14-10-2018 9:11 am","379","66","18","445","109","156","114"
"12-10-2018 11:53 pm","13-10-2018 8:54 am","335","206","1","541","N/A","N/A","N/A"
"11-10-2018 11:17 pm","12-10-2018 6:46 am","387","62","20","449","97","199","91"
"10-10-2018 11:25 pm","11-10-2018 8:11 am","465","60","24","525","89","292","84"
"09-10-2018 11:11 pm","10-10-2018 7:19 am","422","66","26","488","104","202","116"
"08-10-2018 10:19 pm","09-10-2018 5:51 am","377","75","20","452","60","254","63"
"07-10-2018 11:04 pm","08-10-2018 5:57 am","375","38","22","413","62","225","88"
"07-10-2018 12:25 am","07-10-2018 8:36 am","438","53","30","491","100","227","111"
"06-10-2018 1:24 am","06-10-2018 8:39 am","390","44","28","434","78","225","87"
"04-10-2018 11:39 pm","05-10-2018 8:07 am","446","62","37","508","93","228","125"
"03-10-2018 10:38 pm","04-10-2018 6:25 am","410","57","21","467","79","247","84"
"02-10-2018 8:40 pm","03-10-2018 6:41 am","488","112","28","600","103","270","115"
"01-10-2018 11:04 pm","02-10-2018 6:23 am","388","50","25","438","96","206","86"
"30-09-2018 4:37 pm","30-09-2018 6:46 pm","127","2","1","129","N/A","N/A","N/A"
"30-09-2018 12:31 am","30-09-2018 9:34 am","474","69","31","543","93","260","121"
"29-09-2018 12:11 am","29-09-2018 8:56 am","471","54","29","525","116","297","58"
"27-09-2018 11:30 pm","28-09-2018 7:25 am","418","56","32","474","94","237","87"
"27-09-2018 4:13 pm","27-09-2018 6:39 pm","124","12","0","146","N/A","N/A","N/A"
"26-09-2018 11:28 pm","27-09-2018 7:14 am","414","52","17","466","70","247","97"
"25-09-2018 9:43 pm","26-09-2018 8:45 am","597","64","20","661","155","339","103"
"25-09-2018 12:12 am","25-09-2018 6:34 am","346","36","12","382","105","151","90"
"23-09-2018 10:49 pm","24-09-2018 5:09 am","343","37","13","380","76","193","74"
"23-09-2018 2:52 am","23-09-2018 9:11 am","325","54","10","379","90","133","102"
"21-09-2018 9:16 pm","22-09-2018 7:56 am","552","88","37","640","125","301","126"
"20-09-2018 10:10 pm","21-09-2018 5:30 am","388","52","23","440","99","243","46"
"19-09-2018 9:33 pm","20-09-2018 6:08 am","454","61","27","515","109","249","96"
"18-09-2018 8:28 pm","19-09-2018 6:01 am","489","84","31","573","95","292","102"
"17-09-2018 10:04 pm","18-09-2018 5:54 am","226","215","4","470","N/A","N/A","N/A"
"16-09-2018 10:15 pm","17-09-2018 5:54 am","422","36","18","458","101","264","57"
"16-09-2018 12:42 am","16-09-2018 8:45 am","353","119","1","483","N/A","N/A","N/A"
"14-09-2018 10:41 pm","15-09-2018 9:14 am","572","61","20","633","145","336","91"

